a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	p_condition_id	q_block_no
261	23.jpg	23.wav	Pop	5	5	41.jpg	41.wav	Pop	5	5	0	0	0	1	1	4	11
242	54.jpg	54.wav	Rap	5	4	1.jpg	1.wav	Pop	3	4	2	2	1	1	0	23	11
259	53.jpg	53.wav	Soul	4	5	50.jpg	50.wav	Rock	5	5	1	-1	0	0	1	6	11
245	30.jpg	30.wav	Cl_ce	3	4	44.jpg	44.wav	70_rock	2	5	1	1	1	1	1	20	11
249	50.jpg	50.wav	Rock	5	5	8.jpg	8.wav	Pop	5	5	0	0	1	1	1	16	11
244	48.jpg	48.wav	Rock	3	5	27.jpg	27.wav	Pop	1	5	2	2	1	0	0	21	11
241	14.jpg	14.wav	Jazz	4	5	11.jpg	11.wav	Pop	2	5	2	2	1	1	1	24	11
258	20.jpg	20.wav	Regae	3	4	46.jpg	46.wav	Rock	4	5	1	-1	0	1	0	7	11
251	12.jpg	12.wav	Pop	2	5	16.jpg	16.wav	Pop	2	5	0	0	1	0	1	14	11
252	44.jpg	44.wav	70_rock	2	5	38.jpg	38.wav	Jazz	2	5	0	0	1	0	0	13	11
255	20.jpg	20.wav	Regae	3	4	54.jpg	54.wav	Rap	5	4	2	-2	0	0	1	10	11
248	1.jpg	1.wav	Pop	3	4	49.jpg	49.wav	Pop	2	5	1	1	1	0	0	17	11
257	44.jpg	44.wav	70_rock	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	1	1	8	11
243	41.jpg	41.wav	Pop	5	5	20.jpg	20.wav	Regae	3	4	2	2	1	0	1	22	11
260	14.jpg	14.wav	Jazz	4	5	8.jpg	8.wav	Pop	5	5	1	-1	0	0	0	5	11
263	41.jpg	41.wav	Pop	5	5	24.jpg	24.wav	Jazz	5	4	0	0	0	0	1	2	11
250	16.jpg	16.wav	Pop	2	5	38.jpg	38.wav	Jazz	2	5	0	0	1	1	0	15	11
256	37.jpg	37.wav	Rock	1	5	30.jpg	30.wav	Cl_ce	3	4	2	-2	0	0	0	9	11
265	53.jpg	53.wav	Soul	4	5	44.jpg	44.wav	70_rock	2	5	2	2	1	1	1	24	12
266	53.jpg	53.wav	Soul	4	5	38.jpg	38.wav	Jazz	2	5	2	2	1	1	0	23	12
284	1.jpg	1.wav	Pop	3	4	14.jpg	14.wav	Jazz	4	5	1	-1	0	0	0	5	12
281	53.jpg	53.wav	Soul	4	5	36.jpg	36.wav	Pop	5	5	1	-1	0	1	1	8	12
280	9.jpg	9.wav	Rock	2	5	53.jpg	53.wav	Soul	4	5	2	-2	0	0	0	9	12
274	5.jpg	5.wav	Pop	2	5	11.jpg	11.wav	Pop	2	5	0	0	1	1	0	15	12
270	9.jpg	9.wav	Rock	2	5	37.jpg	37.wav	Rock	1	5	1	1	1	1	0	19	12
271	47.jpg	47.wav	Pop	3	5	12.jpg	12.wav	Pop	2	5	1	1	1	0	1	18	12
279	16.jpg	16.wav	Pop	2	5	46.jpg	46.wav	Rock	4	5	2	-2	0	0	1	10	12
282	14.jpg	14.wav	Jazz	4	5	54.jpg	54.wav	Rap	5	4	1	-1	0	1	0	7	12
268	32.jpg	32.wav	Pop	5	5	30.jpg	30.wav	Cl_ce	3	4	2	2	1	0	0	21	12
272	44.jpg	44.wav	70_rock	2	5	37.jpg	37.wav	Rock	1	5	1	1	1	0	0	17	12
267	45.jpg	45.wav	Pop	4	5	49.jpg	49.wav	Pop	2	5	2	2	1	0	1	22	12
275	49.jpg	49.wav	Pop	2	5	13.jpg	13.wav	Rock	2	4	0	0	1	0	1	14	12
278	47.jpg	47.wav	Pop	3	5	32.jpg	32.wav	Pop	5	5	2	-2	0	1	0	11	12
273	30.jpg	30.wav	Cl_ce	3	4	48.jpg	48.wav	Rock	3	5	0	0	1	1	1	16	12
277	31.jpg	31.wav	Folk	3	5	24.jpg	24.wav	Jazz	5	4	2	-2	0	1	1	12	12
269	19.jpg	19.wav	Rock	3	5	38.jpg	38.wav	Jazz	2	5	1	1	1	1	1	20	12
276	30.jpg	30.wav	Cl_ce	3	4	19.jpg	19.wav	Rock	3	5	0	0	1	0	0	13	12
283	38.jpg	38.wav	Jazz	2	5	52.jpg	52.wav	Old_rock	3	4	1	-1	0	0	1	6	12
301	37.jpg	37.wav	Rock	1	5	5.jpg	5.wav	Pop	2	5	1	-1	0	1	1	8	13
300	9.jpg	9.wav	Rock	2	5	46.jpg	46.wav	Rock	4	5	2	-2	0	0	0	9	13
303	46.jpg	46.wav	Rock	4	5	50.jpg	50.wav	Rock	5	5	1	-1	0	0	1	6	13
304	47.jpg	47.wav	Pop	3	5	14.jpg	14.wav	Jazz	4	5	1	-1	0	0	0	5	13
292	48.jpg	48.wav	Rock	3	5	12.jpg	12.wav	Pop	2	5	1	1	1	0	0	17	13
289	53.jpg	53.wav	Soul	4	5	47.jpg	47.wav	Pop	3	5	1	1	1	1	1	20	13
285	45.jpg	45.wav	Pop	4	5	5.jpg	5.wav	Pop	2	5	2	2	1	1	1	24	13
294	9.jpg	9.wav	Rock	2	5	5.jpg	5.wav	Pop	2	5	0	0	1	1	0	15	13
293	9.jpg	9.wav	Rock	2	5	12.jpg	12.wav	Pop	2	5	0	0	1	1	1	16	13
291	14.jpg	14.wav	Jazz	4	5	19.jpg	19.wav	Rock	3	5	1	1	1	0	1	18	13
297	48.jpg	48.wav	Rock	3	5	32.jpg	32.wav	Pop	5	5	2	-2	0	1	1	12	13
