a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	b_metrical	c_location	t_before_onset	resp	result	rt
364	14.jpg	14.wav	Jazz	4	5	30.jpg	30.wav	Cl_ce	3	4	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
365	52.jpg	52.wav	Old_rock	3	4	44.jpg	44.wav	70_rock	2	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
366	46.jpg	46.wav	Rock	4	5	23.jpg	23.wav	Pop	5	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
367	13.jpg	13.wav	Rock	2	4	1.jpg	1.wav	Pop	3	4	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
368	53.jpg	53.wav	Soul	4	5	41.jpg	41.wav	Pop	5	5	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
369	9.jpg	9.wav	Rock	2	5	47.jpg	47.wav	Pop	3	5	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
370	48.jpg	48.wav	Rock	3	5	11.jpg	11.wav	Pop	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
371	19.jpg	19.wav	Rock	3	5	49.jpg	49.wav	Pop	2	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
372	45.jpg	45.wav	Pop	4	5	47.jpg	47.wav	Pop	3	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
373	19.jpg	19.wav	Rock	3	5	11.jpg	11.wav	Pop	2	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
374	44.jpg	44.wav	70_rock	2	5	48.jpg	48.wav	Rock	3	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
375	49.jpg	49.wav	Pop	2	5	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
376	5.jpg	5.wav	Pop	2	5	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
377	13.jpg	13.wav	Rock	2	4	30.jpg	30.wav	Cl_ce	3	4	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
378	24.jpg	24.wav	Jazz	5	4	14.jpg	14.wav	Jazz	4	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
379	30.jpg	30.wav	Cl_ce	3	4	16.jpg	16.wav	Pop	2	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
380	48.jpg	48.wav	Rock	3	5	16.jpg	16.wav	Pop	2	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
381	52.jpg	52.wav	Old_rock	3	4	5.jpg	5.wav	Pop	2	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
382	20.jpg	20.wav	Regae	3	4	13.jpg	13.wav	Rock	2	4	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
383	30.jpg	30.wav	Cl_ce	3	4	12.jpg	12.wav	Pop	2	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
384	45.jpg	45.wav	Pop	4	5	20.jpg	20.wav	Regae	3	4	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
385	53.jpg	53.wav	Soul	4	5	31.jpg	31.wav	Folk	3	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
386	19.jpg	19.wav	Rock	3	5	9.jpg	9.wav	Rock	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
387	31.jpg	31.wav	Folk	3	5	9.jpg	9.wav	Rock	2	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
388	32.jpg	32.wav	Pop	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
